node,timestamp,pit_size,pit_growth_rate,cs_size,cache_hit_ratio,satisfaction_ratio,unsatisfied_ratio,in_interests_rate,out_interests_rate,in_data_rate,nack_rate,raw_score,norm_score,anom_30,anom_50,topology,model
p1,2026-05-27 11:33:36.199393,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.947256331179974,1.9894512662359947,1.9894512662359947,6.631504220786649,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:39.214786,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.94895192765918,1.9897903855318362,2.321422116453809,6.632634618439454,0.09752380039515951,51.192400345950375,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:42.229778,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.95027515827571,1.9900550316551422,1.9900550316551422,6.633516772183807,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:45.244275,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.951909058128106,1.9903818116256211,1.6586515096880177,6.634606038752071,0.09336614251263664,50.28892088769606,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:48.259459,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.949641547580512,1.9899283095161024,1.9899283095161024,6.633094365053675,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:51.274951,3.0,0.0,258.0,0.0,0.24,0.76,9.61700445565765,1.989725059791238,2.3213459030897776,6.3007960226722535,0.09926435516336019,51.57063143746137,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:54.290240,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.949295075861716,1.9898590151723432,1.6582158459769527,6.632863383907811,0.09336614251263664,50.28892088769606,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:57.305559,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.949196088374066,1.9898392176748132,1.9898392176748132,6.632797392249378,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:00.320411,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,10.282428457516323,2.3218386839552987,1.990147443390256,6.633824811300854,0.09612581563742628,50.88861139860241,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:03.335633,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,10.28116669353036,2.3215537695068553,1.9899032310058762,6.633010770019587,0.09612581563742628,50.88861139860241,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:06.351291,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.948077666631958,1.9896155333263916,1.9896155333263916,6.632051777754639,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:09.366481,3.0,0.0,258.0,0.0,0.23076923076923078,0.7692307692307693,9.949621748546527,1.989924349709305,1.989924349709305,6.633081165697684,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:12.384829,3.0,0.0,259.0,0.0,0.25925925925925924,0.7407407407407407,10.270518840107238,2.319149415508086,2.319149415508086,6.62614118716596,0.09024436847729123,49.610544072205215,False,True,dumbbell,per_topo
p1,2026-05-27 11:34:15.400149,3.0,0.0,260.0,0.0,0.25925925925925924,0.7407407407407407,10.280832548452569,2.3214783173925158,2.3214783173925158,6.632795192550044,0.09078200085910004,49.72737422677336,False,True,dumbbell,per_topo
p1,2026-05-27 11:34:18.416128,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,9.947018861868733,1.9894037723737465,1.9894037723737465,6.631345907912489,0.11072135737792321,54.060294234764655,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:21.430147,3.0,0.0,260.0,0.0,0.24,0.76,9.621704441810088,1.9906974707193288,2.3224803825058835,6.303875323944541,0.09926435516336019,51.57063143746137,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:24.445055,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,9.950552388331584,1.9901104776663168,1.658425398055264,6.633701592221056,0.09336614251263664,50.28892088769606,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:27.461324,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,9.946062503045981,1.9892125006091965,2.3207479173773957,6.630708335363988,0.09752380039515951,51.192400345950375,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:30.477889,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,9.945086547115677,1.9890173094231354,1.6575144245192794,6.630057698077118,0.0931714924069399,50.24662246463838,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:33.497580,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,10.597110763982142,2.6492776909955356,1.9869582682466518,6.623194227488839,0.08478884962472488,48.42503305694535,False,True,dumbbell,per_topo
p1,2026-05-27 11:34:36.521647,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,9.92041512307763,1.984083024615526,1.984083024615526,6.613610082051753,0.11375506944604985,54.71953475268515,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:39.537146,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,9.94860220480922,1.989720440961844,1.989720440961844,6.632401469872813,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:42.552047,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,9.950575491533552,1.9901150983067106,1.9901150983067106,6.6337169943557015,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:34:45.575455,3.0,0.0,260.0,0.0,0.23076923076923078,0.7692307692307693,9.92257743579431,1.984515487158862,1.984515487158862,6.615051623862873,0.11375506944604985,54.71953475268515,False,False,dumbbell,per_topo
