topology,scenario,rate,run,Node,role,InInterests_pre,OutInterests_pre,InData_pre,cache_hit_ratio_pre,satisfaction_ratio_pre,timeout_ratio_pre,nack_ratio_pre,interest_amp_pre,data_ratio_pre,InInterests_atk,OutInterests_atk,InData_atk,cache_hit_ratio_atk,satisfaction_ratio_atk,timeout_ratio_atk,nack_ratio_atk,interest_amp_atk,data_ratio_atk
tree,ifa,12.0,2,2,router,0.6666665817067454,0.34000001527499357,0.34000001527499357,0.07371026467267068,0.025137435491279097,0.8,0.0,0.024846842308300938,1.0,11.996627090301004,11.996628093645484,1.5862545973691594e-190,0.0,0.00029530807541793284,0.956892150664935,0.0,1.0000000842155403,1.4006170211822596e-191
tree,ifa,12.0,2,3,router,0.9999999612056515,0.3333333144620005,0.3333333144620005,0.1544968992995309,0.024617688647868726,0.660000000000007,0.0,0.024234614858254754,1.0,11.996627090301004,11.996627090301004,4.1242194817316006e-189,0.0,0.00029530807541793284,0.956892150664935,0.0,1.0,3.64156675242639e-190
tree,ifa,12.0,2,4,router,0.6666664818332589,0.3333332672447449,0.3333332672447449,0.11164702567963439,0.06753475253881161,0.6261196718646783,0.0,0.06587916756767506,1.0,8.59899652879976e-146,7.563754515053059e-176,7.563754515053059e-176,0.0,0.8662207357859532,0.8662207357859532,0.0,0.13377926421404682,0.7224080267558528
tree,ifa,12.0,2,5,router,0.6666667541030673,0.33333344913422774,0.33333344913422774,0.12140623265623267,0.09323503255851329,0.46466624644163357,0.0,0.09289339191707988,1.0,1.9551876303850336e-116,8.805388926053107e-153,8.805388926053107e-153,0.0,1.0,1.0,0.0,3.7515426094973082e-37,0.8327759197324415
tree,ifa,12.0,2,6,attacker,9.988333299999999,0.33000000581679534,0.3333333058167953,0.9654545454545455,0.0344946869457528,0.0013333333333333335,0.0,0.03404090445013916,1.0,21.996655551839464,11.996655183946487,1.6401297240931937e-132,0.45387567693805875,0.000783984032862074,0.5420965753088213,0.0,0.5453832581471647,1.4479531782100474e-133
tree,ifa,12.0,2,7,benign_consumer,9.988333299999999,0.329999872921295,0.33333320625462837,0.9653939393939394,0.03473541848767985,0.0013333333333333335,0.0,0.03385476511292123,1.0,10.0,9.391759906730816e-176,9.391759906730816e-176,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,9.391759906730815e-177,0.7224080267558528
tree,ifa,12.0,2,8,benign_consumer,9.988333299999999,0.3299999177627134,0.3333332177627134,0.9654242424242424,0.03454139908097438,0.0013333333333333335,0.0,0.034031119410219496,1.0,10.0,8.59899652879976e-146,8.59899652879976e-146,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,8.598996528799762e-147,0.8662207357859532
tree,ifa,12.0,2,9,benign_consumer,9.988333299999999,0.3299999307372122,0.33333326407054553,0.9654545454545455,0.03427513475693214,0.0013333333333333335,0.0,0.03406526580596123,1.0,10.0,3.0018775580976967e-170,3.0018775580976967e-170,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.001877558097696e-171,0.7491638795986622
tree,ifa,12.0,2,10,benign_consumer,9.988333299999999,0.3300000586054476,0.3333333919387809,0.9653939393939394,0.03478269145731742,0.0013333333333333335,0.0,0.033902038082558796,1.0,10.0,1.9551876303850336e-116,1.9551876303850336e-116,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,1.9551876303850335e-117,1.0
tree,ifa,12.0,2,11,benign_consumer,9.988333299999999,0.33000002883095303,0.33333336216428633,0.9654242424242424,0.03456429099648531,0.0013333333333333335,0.0,0.03398405167544072,1.0,10.0,6.56053093774745e-134,6.56053093774745e-134,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,6.560530937747449e-135,0.9230769230769231
tree,ifa,12.0,3,0,router,0.3333333637375,0.3333333637375,0.3333333637375,0.0,1.0,0.8033333333333333,0.0,1.0,1.0,11.98325016722408,11.98325016722408,1.825881608729473e-204,0.0,0.0003073236405224796,0.9569028424912213,0.0,1.0,1.6777983437106964e-205
